term,ngram_len,total_freq,doc_freq_of_62,example_sentence
rate,1,1273,62,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
inflation,1,1107,62,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
activity,1,785,62,An analysis of the data and of updated indicators of economic activity leads to the assessment that the economy is converging to its potential growth rate.
increase,1,692,62,"The number of transactions and mortgage volume appear to be stabilizing, with a slight increase in mortgage interest rates."
economic,1,579,62,An analysis of the data and of updated indicators of economic activity leads to the assessment that the economy is converging to its potential growth rate.
increased,1,572,61,"New mortgage volume is stabilizing after increasing since 2017, and mortgage interest rates have increased slightly in recent months, against the background of the increase in government bond yields  ."
expected,1,498,57,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
interest,1,472,62,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
continued,1,471,62,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
growth,1,455,62,An analysis of the data and of updated indicators of economic activity leads to the assessment that the economy is converging to its potential growth rate.
economic activity,2,455,62,An analysis of the data and of updated indicators of economic activity leads to the assessment that the economy is converging to its potential growth rate.
target,1,452,61,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
range,1,437,62,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
months,1,427,62,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
remains,1,409,61,"The US economy remains robust, though the risks due to the worsening “trade war” and the heightened political risk in Europe continue to weigh on momentum."
interest rate,2,403,62,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
declined,1,398,62,"Private consumption grew moderately, and investment continued to contract, despite the firming of residential construction investment after it had declined over several quarters."
decline,1,391,62,"Expectations for medium terms remained entrenched within the target range, though there has been a slight decline recently in longer-term expectations."
market,1,381,62,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
high,1,380,58,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
global,1,375,61,"The Bank of Israel continues to monitor developments in inflation, the real economy, the financial markets, and the global economy, and will act to attain the monetary policy targets in accordance with such developments."
level,1,373,60,One-year expectations and forecasts from the various sources hover around the level of one percent.
target range,2,369,61,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
continues,1,350,59,"The IMF revised its growth forecast downward for most countries and regions, and the moderation in world trade continues."
prices,1,344,62,Home prices stabilized in recent months.
remained,1,332,61,Medium-term expectations remained entrenched within the target range.
annual,1,328,55,"After a continued rise in actual inflation since the beginning of 2018, the annual inflation rate has ranged between 1.2–1.4 percent in the past five months, and the “adjusted indices” are in a similar environment  ."
expectations,1,327,62,One-year expectations and forecasts from the various sources hover around the level of one percent.
data,1,327,62,An analysis of the data and of updated indicators of economic activity leads to the assessment that the economy is converging to its potential growth rate.
pace,1,323,53,"After the growth rate slowed in the second and third quarters of 2018, the findings from the fourth quarter Companies Survey   and data on tax revenues support the assessment that the economy is growing at a pace hovering around the long term path."
trend,1,322,60,"Assessments are that it is not a change in trend, although leading indicators point to a loss of momentum."
previous,1,319,62,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
economy,1,317,56,The rise in wages in the economy and the expansionary fiscal policy will support the continued entrenchment of inflation within the target.
war,1,297,39,"The US economy remains robust, though the risks due to the worsening “trade war” and the heightened political risk in Europe continue to weigh on momentum."
view,1,295,59,"Likewise, global quantitative easing wound down, and in the coming months quantitative contraction is expected to begin, in view of the Fed contracting its balance sheet and the cessation of purchases by the ECB  ."
slightly,1,281,60,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
past,1,280,60,"After a continued rise in actual inflation since the beginning of 2018, the annual inflation rate has ranged between 1.2–1.4 percent in the past five months, and the “adjusted indices” are in a similar environment  ."
forecast,1,273,53,"The IMF revised its growth forecast downward for most countries and regions, and the moderation in world trade continues."
lower,1,271,60,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
terms,1,265,62,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
credit,1,257,51,"In addition, the ECB renewed its program of providing credit to the commercial banks in order to support economic activity in the eurozone."
central,1,255,61,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
government,1,247,60,"Since the previous interest rate decision, 10-year government bond yields stabilized, after increasing in previous months."
decision,1,242,62,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
period,1,241,53,"In the intermeeting period, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate  ."
moderate,1,238,60,"Inflation in tradable goods prices continued to moderate, primarily as a result of the decline in energy prices."
policy,1,233,62,The rise in wages in the economy and the expansionary fiscal policy will support the continued entrenchment of inflation within the target.
business,1,232,62,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
markets,1,226,61,"In financial markets, there were marked declines in most equity indices."
labor,1,224,62,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
higher,1,216,50,"In the past 9 months, except for December 2018, the annual inflation rate has been 1.2 percent or higher."
shekel,1,212,62,The main risk to this is the possibility of a sharp appreciation of the shekel.
recent,1,204,56,Home prices stabilized in recent months.
crisis,1,201,30,"If the crisis persists and spills over into additional countries, and particularly if strict preventative measures are required in Israel, it is expected to have a more significant impact."
number,1,193,56,"The number of transactions and mortgage volume appear to be stabilizing, with a slight increase in mortgage interest rates."
index,1,190,57,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
employment,1,187,58,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
continue,1,187,51,"The US economy remains robust, though the risks due to the worsening “trade war” and the heightened political risk in Europe continue to weigh on momentum."
bank,1,186,55,"The Bank of Israel continues to monitor developments in inflation, the real economy, the financial markets, and the global economy, and will act to attain the monetary policy targets in accordance with such developments."
exchange,1,178,62,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
exports,1,175,61,"Services (excluding start-up companies) exports returned to growth, while weakness continued in goods (excluding diamonds) exports  ."
past months,2,175,57,"In the past 9 months, except for December 2018, the annual inflation rate has been 1.2 percent or higher."
labor market,2,174,60,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
indices,1,172,59,"In financial markets, there were marked declines in most equity indices."
impact,1,172,46,"The steep decline in oil prices in recent weeks may offset the factors supporting inflation, but its impact on the “adjusted indices” will be limited."
uncertainty,1,171,47,"The macro picture conveyed by the global economy continues to indicate declining momentum, high volatility, and uncertainty."
however,1,169,51,"However, an analysis of the data and of updated indicators of activity—and considering the impact of volatility in vehicle imports on GDP—indicates that the economy is apparently converging to its potential growth rate."
recovery,1,167,42,"In Japan, the economic activity data published in the fourth quarter indicate a recovery, following contraction in the third quarter."
exchange rate,2,161,62,"Since the previous interest rate decision, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate and by 3.2 percent vis-à-vis the dollar."
trade,1,158,57,"The US economy remains robust, though the risks due to the worsening “trade war” and the heightened political risk in Europe continue to weigh on momentum."
services,1,158,56,"Services (excluding start-up companies) exports returned to growth, while weakness continued in goods (excluding diamonds) exports  ."
unemployment,1,157,62,"The unemployment rate remains very low, though the participation and employment rates appear to be moderating from the elevated levels they had reached."
