term,n,hawk_ct,dove_ct,z
years,1,18,45,-3.59
make broader financial,3,12,30,-2.93
two years,2,10,27,-2.91
two,1,12,29,-2.81
put downward,2,4,17,-2.75
put downward pressure,3,4,17,-2.75
inflation,1,858,890,-2.68
make broader,2,14,30,-2.61
elevated household,2,5,17,-2.57
remains elevated household,3,5,17,-2.57
elevated household spending,3,5,17,-2.57
one,1,13,28,-2.54
support stronger economic,3,8,21,-2.52
tilted,1,2,12,-2.46
downside,1,23,40,-2.44
modestly,1,3,13,-2.42
put,1,8,20,-2.39
between,1,9,21,-2.34
stronger economic,2,27,43,-2.25
stronger economic recovery,3,27,43,-2.25
inflation between one,3,9,20,-2.2
inflation between,2,9,20,-2.2
two years ahead,3,9,20,-2.2
one and two,3,9,20,-2.2
between one,2,9,20,-2.2
ahead,1,9,20,-2.2
years ahead,2,9,20,-2.2
long as inflation,3,1,9,-2.18
broader financial conditions,3,17,30,-2.15
conditions more accommodative,3,17,30,-2.15
broader financial,2,17,30,-2.15
least as long,3,9,19,-2.05
ahead is projected,3,9,19,-2.05
maturities,1,4,12,-2.05
long,1,35,50,-2.01
downward pressure,2,20,32,-1.95
least,1,33,47,-1.94
period,1,16,27,-1.93
maturity,1,12,22,-1.93
help make,2,1,7,-1.91
help make broader,3,1,7,-1.91
markets and help,3,17,28,-1.9
agency mortgage-backed,2,134,153,-1.88
agency mortgage-backed securities,3,134,153,-1.88
mortgage markets,2,18,29,-1.88
securities with remaining,3,4,11,-1.87
well below,2,4,11,-1.87
remaining maturities,2,4,11,-1.87
return inflation,2,2,8,-1.86
financial conditions,2,51,66,-1.86
securities,1,353,370,-1.85
pressure,1,22,33,-1.79
maturities of years,3,3,9,-1.77
weakened,1,3,9,-1.77
personal,1,1,6,-1.74
governors,1,1,6,-1.74
appropriate monetary policy,3,1,6,-1.74
goods,1,1,6,-1.74
warrant gradual,2,1,6,-1.74
index,1,1,6,-1.74
prepared to use,3,1,6,-1.74
balanced tilted,2,1,6,-1.74
